fare_amount_id,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
69020,5.5,0.0,0.5,1.26,0.0,0.3,7.56
69021,14.5,0.0,0.5,3.06,0.0,0.3,18.36
69022,11.5,0.0,0.5,0.0,0.0,0.3,12.3
69023,10.0,0.0,0.5,0.0,0.0,0.3,10.8
69024,7.0,0.0,0.5,1.56,0.0,0.3,9.36
69025,5.0,0.0,0.5,1.0,0.0,0.3,6.8
69026,6.5,0.0,0.5,1.82,0.0,0.3,9.12
69027,15.5,0.0,0.5,3.26,0.0,0.3,19.56
69028,12.0,0.0,0.5,1.0,0.0,0.3,13.8
69029,6.5,0.0,0.5,0.0,0.0,0.3,7.3
69030,6.5,0.0,0.5,1.1,0.0,0.3,8.4
69031,6.5,0.0,0.5,1.46,0.0,0.3,8.76
69032,8.5,0.0,0.5,0.0,0.0,0.3,9.3
69033,10.5,0.0,0.5,0.0,0.0,0.3,11.3
69034,12.5,0.0,0.5,2.0,0.0,0.3,15.3
69035,4.0,0.0,0.5,0.0,0.0,0.3,4.8
69036,8.5,0.0,0.5,1.86,0.0,0.3,11.16
69037,19.5,0.0,0.5,0.0,0.0,0.3,20.3
69038,7.0,0.0,0.5,1.2,0.0,0.3,9.0
69039,52.0,0.0,0.5,0.0,5.54,0.3,58.34
69040,6.0,0.0,0.5,1.7,0.0,0.3,8.5
69041,6.0,0.0,0.5,1.0,0.0,0.3,7.8
69042,5.0,0.0,0.5,1.16,0.0,0.3,6.96
69043,5.0,0.0,0.5,0.0,0.0,0.3,5.8
69044,7.0,0.0,0.5,0.0,0.0,0.3,7.8
69045,13.5,0.0,0.5,2.86,0.0,0.3,17.16
69046,6.5,0.0,0.5,0.0,0.0,0.3,7.3
69047,6.5,0.0,0.5,2.19,0.0,0.3,9.49
69048,9.0,0.0,0.5,0.0,0.0,0.3,9.8
69049,8.5,0.0,0.5,1.0,0.0,0.3,10.3
69050,3.5,0.0,0.5,1.0,0.0,0.3,5.3
69051,24.5,0.0,0.5,0.0,0.0,0.3,25.3
69052,52.0,0.0,0.5,10.56,0.0,0.3,63.36
69053,42.5,0.0,0.5,9.77,5.54,0.3,58.61
69054,27.5,0.0,0.5,5.0,5.54,0.3,38.84
69055,8.5,0.0,0.5,0.0,0.0,0.3,9.3
69056,17.0,0.0,0.5,0.0,0.0,0.3,17.8
69057,13.0,0.0,0.5,0.0,0.0,0.3,13.8
69058,29.5,0.0,0.5,0.0,0.0,0.3,30.3
69059,21.0,0.0,0.5,0.0,0.0,0.3,21.8
69060,12.0,0.0,0.5,3.2,0.0,0.3,16.0
69061,7.5,0.0,0.5,1.66,0.0,0.3,9.96
69062,33.0,0.0,0.5,7.87,5.54,0.3,47.21
69063,8.0,0.0,0.5,0.0,0.0,0.3,8.8
69064,52.0,0.0,0.5,0.0,5.54,0.3,58.34
69065,69.0,0.0,0.0,10.0,15.0,0.3,94.3
69066,7.0,0.0,0.5,1.56,0.0,0.3,9.36
69067,5.0,0.0,0.5,0.0,0.0,0.3,5.8
69068,-5.0,0.0,-0.5,0.0,0.0,-0.3,-5.8
69069,8.0,0.0,0.5,2.2,0.0,0.3,11.0
69070,5.0,0.0,0.5,0.0,0.0,0.3,5.8
69071,9.5,0.0,0.5,2.06,0.0,0.3,12.36
69072,10.5,0.0,0.5,1.5,0.0,0.3,12.8
69073,7.5,0.0,0.5,1.66,0.0,0.3,9.96
69074,7.0,0.0,0.5,0.0,0.0,0.3,7.8
69075,6.5,0.0,0.5,1.46,0.0,0.3,8.76
69076,13.0,0.0,0.5,2.0,0.0,0.3,15.8
69077,17.0,0.0,0.5,1.0,0.0,0.3,18.8
69078,11.0,0.0,0.5,0.0,0.0,0.3,11.8
69079,13.5,0.0,0.5,0.0,0.0,0.3,14.3
69080,8.0,0.0,0.5,1.76,0.0,0.3,10.56
69081,6.0,0.0,0.5,0.0,0.0,0.3,6.8
69082,32.0,0.0,0.5,7.67,5.54,0.3,46.01
69083,8.0,0.0,0.5,0.0,0.0,0.3,8.8
69084,13.5,0.0,0.5,0.0,0.0,0.3,14.3
69085,46.0,0.0,0.5,15.7,5.54,0.3,68.04
69086,15.0,0.0,0.5,3.16,0.0,0.3,18.96
69087,10.5,0.0,0.5,0.0,0.0,0.3,11.3
69088,11.0,0.0,0.5,2.36,0.0,0.3,14.16
69089,4.5,0.0,0.5,0.0,0.0,0.3,5.3
69090,8.5,0.0,0.5,1.86,0.0,0.3,11.16
69091,4.5,0.0,0.5,1.32,0.0,0.3,6.62
69092,5.5,0.0,0.5,0.0,0.0,0.3,6.3
69093,15.0,0.0,0.5,1.58,0.0,0.3,17.38
69094,34.5,0.0,0.5,8.17,5.54,0.3,49.01
69095,13.0,0.0,0.5,2.76,0.0,0.3,16.56
69096,6.0,0.0,0.5,0.0,0.0,0.3,6.8
69097,4.0,0.0,0.5,0.0,0.0,0.3,4.8
69098,5.0,0.0,0.5,0.0,0.0,0.3,5.8
69099,6.0,0.0,0.5,1.7,0.0,0.3,8.5
69100,14.5,0.0,0.5,2.0,0.0,0.3,17.3
69101,8.5,0.0,0.5,1.0,0.0,0.3,10.3
69102,26.5,0.0,0.5,5.46,0.0,0.3,32.76
69103,13.0,0.0,0.5,3.45,0.0,0.3,17.25
69104,14.0,0.0,0.5,1.5,0.0,0.3,16.3
69105,7.0,0.0,0.5,1.95,0.0,0.3,9.75
69106,11.0,0.0,0.5,2.36,0.0,0.3,14.16
69107,9.5,0.0,0.5,2.06,0.0,0.3,12.36
69108,10.5,0.0,0.5,2.0,0.0,0.3,13.3
69109,22.5,0.0,0.5,4.66,0.0,0.3,27.96
69110,9.0,0.0,0.5,0.0,0.0,0.3,9.8
69111,6.0,0.0,0.5,1.36,0.0,0.3,8.16
69112,6.5,0.0,0.5,0.0,0.0,0.3,7.3
69113,45.5,0.0,0.5,12.96,5.54,0.3,64.8
69114,10.5,0.0,0.5,0.0,0.0,0.3,11.3
69115,6.0,0.0,0.5,0.0,0.0,0.3,6.8
69116,13.0,0.0,0.5,2.0,0.0,0.3,15.8
69117,27.0,0.0,0.5,6.67,5.54,0.3,40.01
69118,11.0,0.0,0.5,0.0,0.0,0.3,11.8
69119,8.5,0.0,0.5,0.0,0.0,0.3,9.3
69120,34.5,0.0,0.5,0.0,0.0,0.3,35.3
69121,11.0,0.0,0.5,2.36,0.0,0.3,14.16
69122,14.0,0.0,0.5,2.0,0.0,0.3,16.8
69123,9.5,0.0,0.5,0.0,0.0,0.3,10.3
69124,4.5,0.0,0.5,1.0,0.0,0.3,6.3
69125,11.0,0.0,0.5,2.0,0.0,0.3,13.8
69126,21.5,0.0,0.5,4.46,0.0,0.3,26.76
69127,31.5,0.0,0.5,0.0,5.54,0.3,37.84
69128,10.0,0.0,0.5,0.0,0.0,0.3,10.8
69129,8.5,0.0,0.5,1.86,0.0,0.3,11.16
69130,24.0,0.0,0.5,0.0,0.0,0.3,24.8
